contest_number,questions,caption_choices,answer,,,,
566,['Why is there a well-dressed man petting a cat on a pirate ship?'],"A) Thus, he gave up the spear.
B) He calls it Ishmeow.",B,,,,
186,['Why are there Chinese characters on the tablet (10 Commandments)?'],"A) Well, I was out of tablets, so I had to carve on the back of this one that I found under my door...
B) And commandments Eleven to Twenty are the same as one to ten, just with tofu instead of meat.",B,,,,
571,['Why is there a huge anchor in a cafe?'],"A) You should feel lucky - my ex got the ship.
B) Or you could just move the damn coffee maker.",B,,,,
704,['Why are the men wearing the tubas?'],"A) I don't think that's what the boss meant when he said the company's hit a low note.
B) Neither one of us plays, but we find they keep people at least six feet away.",B,,,,
542,['Why is her frill so huge?'],"A) I know her but we were never close.
B) All that to cover a pimple?",A,,,,
230,['Why are there statues of numeral numbers?'],"A) You know, a drive in this old open roadster sure does turn back the clock!
B) I think these Burma Shave ads are losing something in the translation.",A,,,,
184,['Why are there outlines of people all over the bar floor?'],"A) Interested in our layaway plan?
B) Beat it, Buddy. We're out of chalk.",B,,,,
570,['Why are the birds on him?'],"A) You might want to rethink your ringtone
B) That's why I don't eat granola in public.",A,,,,
166,['Why are the mummies lying in bed together?'],"A) This should keep Emily from running to our bed every time she has a bad dream.
B) Before we go back to the trapeze act, we really need to decide who's the catcher.",A,,,,
599,['Why is the lizard biting him?'],"A) I wouldn't let him pose for the new mural.
B) The doctor said it will eventually just go extinct.",B,,,,
683,['How did they manage to build that long tower?'],"A) Four-story brownstones? They'll never catch on, not in a million years.
B) Sure, the views are nice, but think of all the outdoor space they're giving up.",A,,,,
599,"[""Why is there a dinosaur biting the man's leg?""]","A) Somebody carve 911.
B) he wants me to date you",A,,,,
526,['What are the angels discussing?'],"A) Hey! My eyes are down here.
B) I never got any complaints.",A,,,,
355,"['What is the turkey saying?', 'Why is the turkey wearing ladies accessories?']","A) I'm up here.
B) I hate my neck.",A,,,,
539,['How is he doing that?'],"A) I don't think he realizes the gravity of the situation.
B) Please stop ignoring the gravity of your situation.",A,,,,
587,"[""Do they understand what they're seeing?""]","A) It doesn't speak to me.
B) I was young and needed the money.",B,,,,
447,['Why are there animals in a therapy office?'],"A) My pets found out they were adopted.
B) I always feel like everybody is watching me",A,,,,
572,['Why are only the beach balls colored in?'],"A) And when he makes a sand castle, he makes a sand castle!
B) Put it down slowly, the mothers are very protective of their young",B,,,,
618,['Where was this unicorn found?'],"A) Well, sure, but I never would have believed in a Trump presidency, either.
B) Capturing the horse was easy. Gluing the cone on was the hard part.",A,,,,
219,['Why are there so many pianos there?'],"A) Well, where did you think baby grands came from?
B) I'm auditioning for ""Hoarders"" on A & E.",A,,,,
519,['What are the birds thinking?'],"A) It must be great to be endangered.
B) I wouldn't follow her tweets either.",A,,,,
530,"['Why is the sword so big?', 'What is the scribe reading to the king?']","A) Your overhead is going to kill you.
B) Compensating for something, are we?",A,,,,
556,['What is she cooking?'],"A) Making fission chips?
B) Forget the flambe and drama.",A,,,,
