contest_number,questions,caption_choices,label,,,,,,,
49,"['What is the bartender saying on the phone in response to the living, breathing, stereotypical bar joke that is unfolding?']","A) Tell me about your childhood very quickly.
B) Believe me . . . it's what's UNDER the ground that's most interesting.
C) Stop me if you've heard this one.
D) I have trouble saying no.
E) Yes, I see the train but I think we can beat it.",C,,,,,,,
393,"['Why are these men standing on clouds holding/throwing lightning bolts?', ""Why is one man dressed in a suit and the other isn't?""]","A) Business school changed you, Son.
B) I'm a throwback.
C) They're not testing our intelligence. They're testing our marriage.
D) Three yea's, six ney's, and Anderson is still up in the air on this one.
E) Personally, I think Prozac is a lot easier.",A,,,,,,,
703,['Why is an alligator in a restaurant?'],"A) Where were you between the hours of beddy-bye and nighty-night?
B) Will No. 3 please step forward and achieve satori.
C) When the moon's in the sky like a big winking eye, that's emoji.
D) No, you can't have another customer. You haven't finished the last one.
E) The last princess I rescued was in a well.",D,,,,,,,
102,['How did the dog learn to throw a stick like that?'],"A) Hootie IS the blowfish.
B) I'm thinking about quitting the band.
C) He identifies with the oppressor.
D) Easy for you to say, you're cured!
E) I admire your restraint.",C,,,,,,,
125,['What are they looking at?'],"A) I've changed my mind. I love it.
B) If it stays that way longer than four hours, you should call your doctor.
C) So this is what it's like to be a Nielsen family.
D) Quick, give them a casino.
E) I have a request to see how the sausage is made.",C,,,,,,,
531,['What are they talking about?'],"A) Fine, but no flash photography.
B) If he's elected, we're going to have a tough time proving we weren't born in Africa.
C) Don't worry, Ken's in stocks. You'll be working in bonds.
D) Isn't it true, Mr. Bear, that you were in bed with my client on the night in question?
E) We'll really miss you.",B,,,,,,,
580,"['Why is the guard in a hammock?', 'What is the lounging guard saying?']","A) It gets easier the second time.
B) I kind of like it when he's away on the Crusades.
C) If he's so damn intelligent, let him get a job.
D) As long as we're up here, we should do the gutters.
E) One more after this and we'll be able to meet our deductible.",B,,,,,,,
528,['Why are the people in one corner of the room?'],"A) If size didn't matter we'd all be swimming.
B) Welcome to orientation.
C) We're on the express so it's medium rare only.
D) No, you come in on four.
E) It seems you promised them herd immunity, Sir.",B,,,,,,,
704,['Why are the men carrying tubas?'],"A) We promise there will be no awkward silence.
B) Or you could just move the damn coffee maker.
C) It's like paradise for the first few days. But you wouldn't want to live here.
D) I'm hourly.
E) It was a very hostile takeover.",A,,,,,,,
65,['Why is the executive so angry?'],"A) If all goes well, we'll get them back after the audit.
B) Just be glad I didn't come here when I had a ponytail.
C) So you're the infamous Sudsy Malone.
D) If that's a courtship display, I think I know how we go extinct.
E) They're programmed to be idiots, Higgins. What's your excuse?",E,,,,,,,
554,['Why is the clown staring at the clerk?'],"A) Hi there! Can I interest you in some promotional material about intelligent design?
B) Would you like that straight up, on the rocks, or sprayed directly in your face?
C) It's not the end of the world if he misses.
D) You wouldn't believe it! I met a man at the pet store.
E) Then why did you have the bumper sticker?",B,,,,,,,
562,['What would these animals have to say to one another?'],"A) I didn't think the oceans could rise any higher.
B) He just loves finding new ways to be indifferent.
C) The board just voted to remove the net.
D) You're right. No underwear.
E) It just looked so uncool to wear a seat belt in the Batmobile.",A,,,,,,,
321,['Why are there holes in the ground?'],"A) That's Bob Mankoff. He used to be the cartoon editor of the New Yorker.
B) So that settles it. This year, instead of cooking the books, we'll bake them in a light, flaky pastry.
C) Should we tell him we found his car keys 2 hours ago?
D) Why don't you get the coffee this morning?
E) I guess my wife couldn't make it.",D,,,,,,,
534,['Why are the men carrying a huge snake?'],"A) Sir, you should probably assume your human form for the shareholders meeting.
B) Well, sure, but I never would have believed in a Trump presidency, either.
C) Your speechwriter wants to know if you prefer ‘inexhaustible�?or ‘unrelenting.�?D) I finally got that desk job I’ve been looking at.
E) Do you have any previous whistle-blowing experience?",A,,,,,,,
734,['Why is the man tied up in his shower?'],"A) Do I hear a motion for less disclosure?
B) Looks like you boys could use some water.
C) This your last chance to come clean.
D) I know a specialist, but he's in prison.
E) I'm sorry. I've been burned too many times.",C,,,,,,,
725,['Why does the girl have a cherry on her head?'],"A) I'm afraid this whole experiment is about to go south.
B) What do you mean, 'YOU'RE scared you might miss' ?
C) I don't think he realizes the gravity of the situation.
D) Come on, George. You know he's only going to spend it on more oxygen.
E) It's cheaper than coach, and he gets more legroom.",B,,,,,,,
225,['Why is the cheerleader standing beside the plane?'],"A) You’re right. We’ll need a second stimulus plan.
B) I’m trying to raise money for our squad. Would you like your plane washed?
C) Fine—next time you slay the dragon and I'll cook.
D) Sorry, but I have to play it where it lies.
E) You're gonna have to roll me outta here.",B,,,,,,,
244,['Why did the man bring a dead alligator?'],"A) Please use a coaster.
B) We're really looking for someone with more lab experience.
C) I guess I misunderstood when you said long bike ride.
D) Come on, George. You know he's only going to spend it on more oxygen.
E) Cancel my lunch date and get me a six-foot baguette.",E,,,,,,,
511,['What are they doing?'],"A) Not now—I'm in the middle of a big case.
B) I found your brother...I'm glad we didn't use the snow blower....
C) From the ashes, your bill will magically appear.
D) Yours is perfectly adequate.
E) And we always thought it would be robots that would replace us.",B,,,,,,,
172,"['Whose smiling face is this?', 'Why is this out of place smiling face here?']","A) We really need to revisit our immigration policy.
B) We'll have to run it by our infinite number of editors.
C) For God's sake, Dave, you're thirty-five—just use the stairs.
D) It was a bob cut when you said, 'I'll be right back!'
E) Miley’s here.",A,,,,,,,
